date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:16:04	11168/11168	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:02%20GMT	https://kd1s.com/ku/zns	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku/zns.html	(from https://kd1s.com/ku)
07:16:04	43597/43597	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:03%20GMT	https://kd1s.com/ku/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku/terms.html	(from https://kd1s.com/ku)
07:16:04	13485/13485	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:04%20GMT	https://kd1s.com/ku/about	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku/about.html	(from https://kd1s.com/ku)
07:16:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:04%20GMT	https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar	(from https://kd1s.com/ku)
07:16:05	11455/11455	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:04%20GMT	https://kd1s.com/ku/resetpassword	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku/resetpassword.html	(from https://kd1s.com/ku)
07:16:05	13384/13384	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:04%20GMT	https://kd1s.com/ku/signup	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ku/signup.html	(from https://kd1s.com/ku)
07:16:06	13240/13240	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:05%20GMT	https://kd1s.com/en/sign-up	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/sign-up.html	(from https://kd1s.com/en)
07:16:06	20236/20236	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:06%20GMT	https://kd1s.com/en/faq	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/faq.html	(from https://kd1s.com/en)
07:16:07	93028/93028	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:06%20GMT	https://kd1s.com/en/apikd1s	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/apikd1s.html	(from https://kd1s.com/en)
07:16:07	13486/13486	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:06%20GMT	https://kd1s.com/en/contact	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/contact.html	(from https://kd1s.com/en)
07:16:07	11208/11208	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:07%20GMT	https://kd1s.com/en/zns	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/zns.html	(from https://kd1s.com/en)
07:16:08	5828807/5828807	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:05%20GMT	https://kd1s.com/en/services	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/services.html	(from https://kd1s.com/en)
07:16:08	25527/25527	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:07%20GMT	https://kd1s.com/en/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/terms.html	(from https://kd1s.com/en)
07:16:08	13635/13635	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:08%20GMT	https://kd1s.com/en/about	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/about.html	(from https://kd1s.com/en)
07:16:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:08%20GMT	https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar	(from https://kd1s.com/en)
07:16:09	11311/11311	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:08%20GMT	https://kd1s.com/en/resetpassword	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/resetpassword.html	(from https://kd1s.com/en)
07:16:09	0/-1	---M--	301	error ('')			https://kd1s.com/ar/services	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/services.57.delayed	(from https://kd1s.com/resetpassword)
07:16:09	13240/13240	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2004:16:09%20GMT	https://kd1s.com/en/signup	C:/Users/KaaJ/Downloads/kd1/kd1s.com/en/signup.html	(from https://kd1s.com/en)
07:16:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:09%20GMT	https://kd1s.com/ar/faq	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/faq	(from https://kd1s.com/resetpassword)
07:16:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:09%20GMT	https://kd1s.com/ar/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/terms	(from https://kd1s.com/resetpassword)
07:16:10	0/-1	---M--	301	error ('')			https://kd1s.com/ar/services	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/services.5a.delayed	(from https://kd1s.com/signup)
07:16:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:10%20GMT	https://kd1s.com/ar/faq	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/faq	(from https://kd1s.com/signup)
07:16:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:10%20GMT	https://kd1s.com/ar/terms	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar/terms	(from https://kd1s.com/signup)
07:16:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:16:10%20GMT	https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar	(from https://kd1s.com/ku/services)
07:18:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2004:18:16%20GMT	https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.5e.delayed	(from https://kd1s.com/ku/sign-up)
07:18:17	0/-1	---M--	301	error ('')			https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.60.delayed	(from https://kd1s.com/ku/faq)
07:18:17	0/-1	---M--	301	error ('')			https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.61.delayed	(from https://kd1s.com/ku/apikd1s)
07:18:17	0/-1	---M--	301	error ('')			https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.62.delayed	(from https://kd1s.com/ku/contact)
07:18:17	0/-1	---M--	301	error ('')			https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.63.delayed	(from https://kd1s.com/ku/zns)
07:18:17	0/-1	---M--	301	error ('')			https://kd1s.com/ar	C:/Users/KaaJ/Downloads/kd1/kd1s.com/ar.64.delayed	(from https://kd1s.com/ku/terms)
